year,geocode,section_key,municipio,pct_otras_prestaciones,pct_otros_ingresos,pct_pensiones,pct_prestaciones_desempleo,pct_sueldos_salarios
2021,20220101_35011_D02_S003,35011_D02_S003,Ingenio,7.0,8.1,19.6,5.6,59.7
2021,20220101_35011_D03_S001,35011_D03_S001,Ingenio,8.7,7.4,22.4,7.6,53.9
2021,20220101_35011_D03_S002,35011_D03_S002,Ingenio,7.3,10.0,19.5,9.0,54.3
2021,20220101_35011_D03_S003,35011_D03_S003,Ingenio,6.2,7.8,14.8,8.9,62.3
2021,20220101_35011_D03_S004,35011_D03_S004,Ingenio,8.2,6.2,16.5,9.1,60.0
2021,20220101_35011_D03_S005,35011_D03_S005,Ingenio,6.2,8.3,18.0,7.8,59.8
2021,20220101_35011_D03_S006,35011_D03_S006,Ingenio,7.4,8.9,19.2,8.3,56.2
2021,20220101_35011_D03_S007,35011_D03_S007,Ingenio,6.0,6.2,15.3,7.7,64.8
2021,20220101_35011_D03_S008,35011_D03_S008,Ingenio,4.8,9.0,12.8,6.5,66.9
2021,20220101_35012_D01_S001,35012_D01_S001,Mogán,5.1,13.9,19.3,12.3,49.4
2021,20220101_35012_D01_S002,35012_D01_S002,Mogán,5.7,19.4,19.2,13.6,42.3
2021,20220101_35012_D01_S003,35012_D01_S003,Mogán,4.6,9.8,16.8,15.2,53.7
2021,20220101_35012_D02_S001,35012_D02_S001,Mogán,3.4,20.3,15.3,17.7,43.2
2021,20220101_35012_D02_S002,35012_D02_S002,Mogán,4.5,16.7,10.8,22.1,46.0
2021,20220101_35012_D03_S001,35012_D03_S001,Mogán,7.2,10.0,29.1,12.4,41.3
2021,20220101_35012_D03_S002,35012_D03_S002,Mogán,4.9,11.7,22.3,14.2,47.0
2021,20220101_35012_D04_S001,35012_D04_S001,Mogán,4.7,11.7,16.8,15.5,51.2
2021,20220101_35012_D04_S002,35012_D04_S002,Mogán,3.5,25.4,17.5,10.4,43.2
2021,20220101_35012_D04_S003,35012_D04_S003,Mogán,4.8,8.7,10.5,14.4,61.7
2021,20220101_35012_D05_S001,35012_D05_S001,Mogán,4.9,12.4,20.3,11.9,50.5
2021,20220101_35013_D01_S001,35013_D01_S001,Moya,5.9,15.0,21.3,2.9,55.1
2021,20220101_35013_D01_S002,35013_D01_S002,Moya,7.9,10.8,20.3,4.5,56.5
2021,20220101_35013_D01_S003,35013_D01_S003,Moya,8.5,9.7,18.0,4.9,58.9
2021,20220101_35013_D01_S004,35013_D01_S004,Moya,6.7,12.0,20.8,3.8,56.8
