year,geo_renta,section_key,municipio,distrito,seccion,renta_bruta_media_hogar,renta_bruta_media_persona,renta_neta_uc_media,renta_neta_uc_mediana,renta_ratio_media_mediana,map_year_renta,geo_distribucion_ingresos,pct_otras_prestaciones,pct_otros_ingresos,pct_pensiones,pct_prestaciones_desempleo,pct_sueldos_salarios,geo_ocupacion,casos_alta_cualificacion,casos_ocupacion_no_consta,casos_ocupaciones_elementales,casos_cualificados_bajo,ocupacion_total,ocupacion_total_conocida,pct_alta_cualificacion,pct_ocupaciones_elementales,geo_actividad,casos_agricultura,casos_construccion,casos_industria,casos_actividad_no_consta,casos_servicios,actividad_total_conocida,pct_servicios,pct_industria_construccion,perfil_renta
2021,20220101_38004_D01_S002,38004_D01_S002,Arafo,1,2,35062.0,12342.0,16801.0,14350.0,1.170801393728223,2022,20220101_38004_D01_S002,4.3,10.2,24.0,4.7,56.8,20210101_38004_D01_S002,156.0,20.0,111.0,344.0,631.0,611.0,25.53191489361702,18.16693944353519,20210101_38004_D01_S002,16.0,44.0,67.0,0.0,504.0,631.0,79.87321711568939,17.591125198098258,media-baja
2021,20220101_38004_D01_S003,38004_D01_S003,Arafo,1,3,39797.0,14827.0,19036.0,17150.0,1.1099708454810495,2022,20220101_38004_D01_S003,4.1,12.8,17.5,3.1,62.6,20210101_38004_D01_S003,247.0,28.0,96.0,370.0,741.0,713.0,34.642356241234225,13.464235624123422,20210101_38004_D01_S003,22.0,53.0,49.0,0.0,617.0,741.0,83.26585695006747,13.765182186234817,media-baja
2021,20220101_38005_D01_S001,38005_D01_S001,Arico,1,1,26088.0,9887.0,13187.0,12250.0,1.0764897959183672,2022,20220101_38005_D01_S001,4.1,8.7,23.9,8.5,54.8,20210101_38005_D01_S001,49.0,8.0,99.0,126.0,282.0,274.0,17.883211678832115,36.13138686131387,20210101_38005_D01_S001,56.0,20.0,30.0,0.0,176.0,282.0,62.4113475177305,17.73049645390071,baja
2021,20220101_38005_D01_S002,38005_D01_S002,Arico,1,2,28734.0,10627.0,14554.0,12950.0,1.123861003861004,2022,20220101_38005_D01_S002,3.5,6.9,22.2,9.1,58.3,20210101_38005_D01_S002,39.0,7.0,92.0,131.0,269.0,262.0,14.885496183206106,35.11450381679389,20210101_38005_D01_S002,37.0,11.0,37.0,0.0,184.0,269.0,68.40148698884758,17.843866171003718,baja
2021,20220101_38005_D01_S003,38005_D01_S003,Arico,1,3,29046.0,11315.0,14780.0,13650.0,1.0827838827838827,2022,20220101_38005_D01_S003,3.5,10.4,25.4,6.3,54.5,20210101_38005_D01_S003,84.0,19.0,91.0,239.0,433.0,414.0,20.28985507246377,21.980676328502415,20210101_38005_D01_S003,46.0,31.0,42.0,0.0,314.0,433.0,72.51732101616628,16.859122401847575,baja
2021,20220101_38005_D01_S004,38005_D01_S004,Arico,1,4,29258.0,13275.0,16780.0,15050.0,1.1149501661129568,2022,20220101_38005_D01_S004,3.7,11.4,20.0,4.8,60.1,20210101_38005_D01_S004,311.0,31.0,149.0,564.0,1055.0,1024.0,30.37109375,14.55078125,20210101_38005_D01_S004,40.0,69.0,94.0,0.0,852.0,1055.0,80.75829383886256,15.450236966824644,media-baja
2021,20220101_38005_D01_S005,38005_D01_S005,Arico,1,5,25533.0,10960.0,14176.0,12950.0,1.0946718146718146,2022,20220101_38005_D01_S005,3.9,9.2,17.1,7.8,62.0,20210101_38005_D01_S005,146.0,23.0,170.0,474.0,813.0,790.0,18.481012658227847,21.518987341772153,20210101_38005_D01_S005,72.0,80.0,87.0,0.0,574.0,813.0,70.60270602706026,20.541205412054122,baja
2021,20220101_38005_D01_S006,38005_D01_S006,Arico,1,6,30000.0,11199.0,15136.0,14350.0,1.054773519163763,2022,20220101_38005_D01_S006,4.7,6.6,21.3,8.0,59.4,20210101_38005_D01_S006,37.0,15.0,61.0,150.0,263.0,248.0,14.919354838709678,24.596774193548388,20210101_38005_D01_S006,33.0,14.0,40.0,0.0,176.0,263.0,66.92015209125475,20.53231939163498,baja
2021,20220101_38006_D01_S001,38006_D01_S001,Arona,1,1,34966.0,12434.0,16691.0,15050.0,1.1090365448504984,2022,20220101_38006_D01_S001,3.4,16.6,19.1,8.1,52.9,20210101_38006_D01_S001,97.0,17.0,99.0,266.0,479.0,462.0,20.995670995670995,21.428571428571427,20210101_38006_D01_S001,10.0,36.0,36.0,0.0,397.0,479.0,82.88100208768267,15.031315240083508,media-baja
2021,20220101_38006_D01_S002,38006_D01_S002,Arona,1,2,36386.0,12687.0,16559.0,12950.0,1.2786872586872586,2022,20220101_38006_D01_S002,3.7,29.5,16.7,9.7,40.5,20210101_38006_D01_S002,106.0,21.0,128.0,408.0,663.0,642.0,16.510903426791277,19.937694704049843,20210101_38006_D01_S002,13.0,40.0,27.0,0.0,583.0,663.0,87.93363499245852,10.105580693815988,media-baja
2021,20220101_38006_D01_S003,38006_D01_S003,Arona,1,3,31388.0,10960.0,15040.0,13650.0,1.101831501831502,2022,20220101_38006_D01_S003,4.1,14.5,15.6,12.8,53.0,20210101_38006_D01_S003,200.0,34.0,206.0,691.0,1131.0,1097.0,18.231540565177756,18.77848678213309,20210101_38006_D01_S003,14.0,84.0,50.0,0.0,983.0,1131.0,86.91423519009726,11.84792219274978,baja
