year,geo_actividad,section_key,municipio,casos_agricultura,casos_construccion,casos_industria,casos_actividad_no_consta,casos_servicios,actividad_total_conocida,pct_servicios,pct_industria_construccion
2021,20210101_38023_D02_S022,38023_D02_S022,San Cristóbal de La Laguna,4.0,25.0,22.0,0.0,482.0,533.0,90.43151969981238,8.818011257035648
2021,20210101_38023_D02_S023,38023_D02_S023,San Cristóbal de La Laguna,1.0,30.0,35.0,0.0,542.0,608.0,89.14473684210526,10.69078947368421
2021,20210101_38023_D02_S024,38023_D02_S024,San Cristóbal de La Laguna,1.0,23.0,33.0,0.0,295.0,352.0,83.80681818181819,15.909090909090908
2021,20210101_38023_D03_S001,38023_D03_S001,San Cristóbal de La Laguna,3.0,19.0,17.0,0.0,274.0,313.0,87.53993610223642,11.501597444089457
2021,20210101_38023_D03_S002,38023_D03_S002,San Cristóbal de La Laguna,3.0,57.0,71.0,0.0,1113.0,1244.0,89.46945337620579,10.289389067524116
2021,20210101_38023_D03_S003,38023_D03_S003,San Cristóbal de La Laguna,2.0,19.0,28.0,0.0,572.0,621.0,92.10950080515298,7.568438003220612
2021,20210101_38023_D03_S004,38023_D03_S004,San Cristóbal de La Laguna,6.0,72.0,57.0,0.0,679.0,814.0,83.41523341523342,15.847665847665848
2021,20210101_38023_D03_S005,38023_D03_S005,San Cristóbal de La Laguna,9.0,56.0,37.0,0.0,516.0,618.0,83.49514563106796,15.048543689320388
2021,20210101_38023_D03_S006,38023_D03_S006,San Cristóbal de La Laguna,4.0,36.0,47.0,0.0,879.0,966.0,90.99378881987577,8.592132505175984
2021,20210101_38023_D03_S007,38023_D03_S007,San Cristóbal de La Laguna,3.0,26.0,18.0,0.0,246.0,293.0,83.95904436860069,15.017064846416382
2021,20210101_38023_D03_S008,38023_D03_S008,San Cristóbal de La Laguna,12.0,53.0,57.0,0.0,902.0,1024.0,88.0859375,10.7421875
2021,20210101_38023_D03_S009,38023_D03_S009,San Cristóbal de La Laguna,5.0,18.0,17.0,0.0,297.0,337.0,88.13056379821958,10.385756676557863
2021,20210101_38023_D03_S010,38023_D03_S010,San Cristóbal de La Laguna,3.0,20.0,13.0,0.0,246.0,282.0,87.23404255319149,11.702127659574469
2021,20210101_38023_D03_S011,38023_D03_S011,San Cristóbal de La Laguna,5.0,38.0,43.0,0.0,478.0,564.0,84.7517730496454,14.361702127659575
2021,20210101_38023_D03_S012,38023_D03_S012,San Cristóbal de La Laguna,21.0,49.0,33.0,0.0,478.0,581.0,82.27194492254733,14.113597246127366
2021,20210101_38023_D03_S013,38023_D03_S013,San Cristóbal de La Laguna,22.0,60.0,44.0,1.0,557.0,683.0,81.5519765739385,15.226939970717423
2021,20210101_38023_D03_S014,38023_D03_S014,San Cristóbal de La Laguna,5.0,24.0,18.0,0.0,196.0,243.0,80.65843621399176,17.28395061728395
2021,20210101_38023_D03_S015,38023_D03_S015,San Cristóbal de La Laguna,6.0,33.0,20.0,0.0,419.0,478.0,87.65690376569037,11.087866108786612
2021,20210101_38023_D03_S016,38023_D03_S016,San Cristóbal de La Laguna,8.0,43.0,40.0,0.0,564.0,655.0,86.10687022900764,12.67175572519084
2021,20210101_38023_D03_S017,38023_D03_S017,San Cristóbal de La Laguna,7.0,28.0,33.0,0.0,335.0,403.0,83.12655086848635,15.136476426799007
2021,20210101_38023_D03_S018,38023_D03_S018,San Cristóbal de La Laguna,7.0,24.0,13.0,0.0,211.0,255.0,82.74509803921569,14.509803921568627
2021,20210101_38023_D03_S019,38023_D03_S019,San Cristóbal de La Laguna,9.0,77.0,61.0,1.0,1164.0,1311.0,88.78718535469108,10.526315789473685
2021,20210101_38023_D03_S020,38023_D03_S020,San Cristóbal de La Laguna,5.0,34.0,37.0,0.0,320.0,396.0,80.8080808080808,17.92929292929293
2021,20210101_38023_D03_S021,38023_D03_S021,San Cristóbal de La Laguna,5.0,23.0,44.0,0.0,347.0,419.0,82.81622911694511,15.990453460620525
2021,20210101_38023_D03_S022,38023_D03_S022,San Cristóbal de La Laguna,1.0,12.0,10.0,0.0,359.0,382.0,93.97905759162303,5.7591623036649215
2021,20210101_38023_D03_S023,38023_D03_S023,San Cristóbal de La Laguna,5.0,36.0,20.0,0.0,376.0,437.0,86.04118993135012,12.814645308924485
2021,20210101_38023_D03_S024,38023_D03_S024,San Cristóbal de La Laguna,4.0,19.0,34.0,0.0,354.0,411.0,86.13138686131387,12.895377128953772
2021,20210101_38023_D03_S025,38023_D03_S025,San Cristóbal de La Laguna,9.0,50.0,48.0,0.0,743.0,850.0,87.41176470588235,11.529411764705882
2021,20210101_38023_D03_S026,38023_D03_S026,San Cristóbal de La Laguna,2.0,27.0,34.0,0.0,487.0,550.0,88.54545454545455,11.090909090909092
2021,20210101_38023_D03_S027,38023_D03_S027,San Cristóbal de La Laguna,0.0,0.0,0.0,0.0,0.0,0.0,,
2021,20210101_38023_D03_S028,38023_D03_S028,San Cristóbal de La Laguna,0.0,0.0,0.0,0.0,0.0,0.0,,
2021,20210101_38023_D03_S029,38023_D03_S029,San Cristóbal de La Laguna,0.0,0.0,0.0,0.0,0.0,0.0,,
2021,20210101_38023_D04_S001,38023_D04_S001,San Cristóbal de La Laguna,4.0,41.0,49.0,1.0,660.0,754.0,87.53315649867373,11.936339522546419
2021,20210101_38023_D04_S002,38023_D04_S002,San Cristóbal de La Laguna,11.0,56.0,64.0,0.0,903.0,1034.0,87.33075435203095,11.60541586073501
2021,20210101_38023_D04_S003,38023_D04_S003,San Cristóbal de La Laguna,9.0,54.0,43.0,0.0,659.0,765.0,86.14379084967321,12.679738562091503
2021,20210101_38023_D04_S004,38023_D04_S004,San Cristóbal de La Laguna,6.0,34.0,25.0,0.0,323.0,388.0,83.24742268041237,15.206185567010309
2021,20210101_38023_D04_S005,38023_D04_S005,San Cristóbal de La Laguna,3.0,21.0,23.0,0.0,380.0,427.0,88.99297423887587,10.304449648711945
2021,20210101_38023_D04_S006,38023_D04_S006,San Cristóbal de La Laguna,6.0,51.0,44.0,0.0,467.0,568.0,82.21830985915493,16.725352112676056
2021,20210101_38023_D04_S007,38023_D04_S007,San Cristóbal de La Laguna,8.0,49.0,29.0,0.0,605.0,691.0,87.55426917510854,11.287988422575976
2021,20210101_38023_D04_S008,38023_D04_S008,San Cristóbal de La Laguna,0.0,0.0,0.0,0.0,0.0,0.0,,
