year,geo_ocupacion,section_key,municipio,casos_alta_cualificacion,casos_ocupacion_no_consta,casos_ocupaciones_elementales,casos_cualificados_bajo,ocupacion_total,ocupacion_total_conocida,pct_alta_cualificacion,pct_ocupaciones_elementales
2022,20220101_38038_D09_S021,38038_D09_S021,Santa Cruz de Tenerife,65,16,51,167,299,283,22.968197879858657,18.021201413427562
2022,20220101_38038_D09_S022,38038_D09_S022,Santa Cruz de Tenerife,82,19,81,248,430,411,19.951338199513383,19.708029197080293
2022,20220101_38038_D10_S001,38038_D10_S001,Santa Cruz de Tenerife,53,21,39,167,280,259,20.463320463320464,15.057915057915057
2022,20220101_38038_D10_S002,38038_D10_S002,Santa Cruz de Tenerife,79,14,61,192,346,332,23.795180722891565,18.373493975903614
2022,20220101_38038_D10_S003,38038_D10_S003,Santa Cruz de Tenerife,84,12,50,211,357,345,24.347826086956523,14.492753623188406
2022,20220101_38038_D10_S004,38038_D10_S004,Santa Cruz de Tenerife,45,7,32,131,215,208,21.634615384615383,15.384615384615385
2022,20220101_38038_D10_S005,38038_D10_S005,Santa Cruz de Tenerife,53,14,51,145,263,249,21.285140562248998,20.481927710843372
2022,20220101_38038_D10_S006,38038_D10_S006,Santa Cruz de Tenerife,208,24,58,268,558,534,38.951310861423224,10.861423220973784
2022,20220101_38038_D10_S007,38038_D10_S007,Santa Cruz de Tenerife,126,10,40,139,315,305,41.31147540983606,13.114754098360656
2022,20220101_38038_D10_S008,38038_D10_S008,Santa Cruz de Tenerife,89,13,51,194,347,334,26.646706586826348,15.269461077844312
2022,20220101_38038_D10_S009,38038_D10_S009,Santa Cruz de Tenerife,80,20,33,186,319,299,26.755852842809364,11.036789297658864
2022,20220101_38038_D10_S010,38038_D10_S010,Santa Cruz de Tenerife,54,8,52,128,242,234,23.076923076923077,22.22222222222222
2022,20220101_38038_D10_S011,38038_D10_S011,Santa Cruz de Tenerife,86,16,57,352,511,495,17.373737373737374,11.515151515151516
2022,20220101_38038_D10_S012,38038_D10_S012,Santa Cruz de Tenerife,66,14,56,174,310,296,22.2972972972973,18.91891891891892
2022,20220101_38038_D10_S013,38038_D10_S013,Santa Cruz de Tenerife,66,11,18,112,207,196,33.673469387755105,9.183673469387756
2022,20220101_38038_D10_S014,38038_D10_S014,Santa Cruz de Tenerife,90,15,44,204,353,338,26.62721893491124,13.017751479289942
2022,20220101_38038_D10_S015,38038_D10_S015,Santa Cruz de Tenerife,176,20,56,188,440,420,41.904761904761905,13.333333333333334
2022,20220101_38038_D10_S016,38038_D10_S016,Santa Cruz de Tenerife,137,23,42,251,453,430,31.86046511627907,9.767441860465116
2022,20220101_38038_D11_S001,38038_D11_S001,Santa Cruz de Tenerife,113,25,104,368,610,585,19.316239316239315,17.77777777777778
2022,20220101_38038_D11_S002,38038_D11_S002,Santa Cruz de Tenerife,199,46,94,458,797,751,26.498002663115845,12.51664447403462
2022,20220101_38038_D11_S003,38038_D11_S003,Santa Cruz de Tenerife,366,66,91,662,1185,1119,32.707774798927616,8.132260947274352
2022,20220101_38038_D11_S004,38038_D11_S004,Santa Cruz de Tenerife,166,39,135,526,866,827,20.072551390568318,16.324062877871825
2022,20220101_38038_D11_S005,38038_D11_S005,Santa Cruz de Tenerife,113,22,64,299,498,476,23.73949579831933,13.445378151260504
2022,20220101_38038_D11_S006,38038_D11_S006,Santa Cruz de Tenerife,135,28,143,427,733,705,19.148936170212767,20.28368794326241
2022,20220101_38038_D11_S007,38038_D11_S007,Santa Cruz de Tenerife,111,21,77,276,485,464,23.92241379310345,16.594827586206897
2022,20220101_38038_D11_S008,38038_D11_S008,Santa Cruz de Tenerife,179,34,47,346,606,572,31.293706293706293,8.216783216783217
2022,20220101_38038_D11_S009,38038_D11_S009,Santa Cruz de Tenerife,85,8,94,226,413,405,20.987654320987655,23.209876543209877
2022,20220101_38038_D11_S010,38038_D11_S010,Santa Cruz de Tenerife,158,23,98,317,596,573,27.574171029668413,17.102966841186735
2022,20220101_38038_D11_S011,38038_D11_S011,Santa Cruz de Tenerife,33,11,97,186,327,316,10.443037974683545,30.696202531645568
2022,20220101_38038_D11_S012,38038_D11_S012,Santa Cruz de Tenerife,76,19,120,309,524,505,15.049504950495049,23.762376237623762
2022,20220101_38038_D11_S013,38038_D11_S013,Santa Cruz de Tenerife,201,42,76,402,721,679,29.60235640648012,11.192930780559646
2022,20220101_38038_D11_S014,38038_D11_S014,Santa Cruz de Tenerife,275,28,15,212,530,502,54.78087649402391,2.9880478087649402
2022,20220101_38038_D11_S015,38038_D11_S015,Santa Cruz de Tenerife,124,32,87,389,632,600,20.666666666666668,14.5
2022,20220101_38038_D11_S016,38038_D11_S016,Santa Cruz de Tenerife,64,13,73,188,338,325,19.692307692307693,22.46153846153846
2022,20220101_38038_D11_S017,38038_D11_S017,Santa Cruz de Tenerife,65,32,92,230,419,387,16.795865633074936,23.772609819121445
2022,20220101_38038_D11_S018,38038_D11_S018,Santa Cruz de Tenerife,249,36,87,433,805,769,32.37971391417425,11.31339401820546
2022,20220101_38038_D11_S019,38038_D11_S019,Santa Cruz de Tenerife,108,18,70,280,476,458,23.580786026200872,15.283842794759826
2022,20220101_38038_D11_S020,38038_D11_S020,Santa Cruz de Tenerife,197,22,83,407,709,687,28.675400291120816,12.08151382823872
2022,20220101_38038_D11_S021,38038_D11_S021,Santa Cruz de Tenerife,550,50,30,410,1040,990,55.55555555555556,3.0303030303030303
2022,20220101_38038_D12_S001,38038_D12_S001,Santa Cruz de Tenerife,182,40,84,392,698,658,27.659574468085108,12.76595744680851
2022,20220101_38038_D12_S002,38038_D12_S002,Santa Cruz de Tenerife,188,43,118,466,815,772,24.352331606217618,15.284974093264248
2022,20220101_38038_D12_S003,38038_D12_S003,Santa Cruz de Tenerife,59,17,57,199,332,315,18.73015873015873,18.095238095238095
2022,20220101_38038_D12_S004,38038_D12_S004,Santa Cruz de Tenerife,133,20,75,296,524,504,26.38888888888889,14.880952380952381
2022,20220101_38038_D12_S005,38038_D12_S005,Santa Cruz de Tenerife,266,47,115,567,995,948,28.059071729957807,12.130801687763713
2022,20220101_38038_D12_S006,38038_D12_S006,Santa Cruz de Tenerife,166,28,89,407,690,662,25.075528700906343,13.444108761329305
2022,20220101_38038_D12_S007,38038_D12_S007,Santa Cruz de Tenerife,92,15,43,231,381,366,25.136612021857925,11.748633879781421
2022,20220101_38038_D12_S008,38038_D12_S008,Santa Cruz de Tenerife,273,36,106,590,1005,969,28.173374613003094,10.939112487100104
2022,20220101_38038_D12_S009,38038_D12_S009,Santa Cruz de Tenerife,308,58,94,572,1032,974,31.62217659137577,9.650924024640657
2022,20220101_38038_D12_S010,38038_D12_S010,Santa Cruz de Tenerife,230,30,73,412,745,715,32.16783216783217,10.20979020979021
2022,20220101_38038_D12_S011,38038_D12_S011,Santa Cruz de Tenerife,218,28,125,462,833,805,27.080745341614907,15.527950310559007
2022,20220101_38039_D01_S001,38039_D01_S001,Santa Úrsula,156,30,108,448,742,712,21.910112359550563,15.168539325842696
2022,20220101_38039_D01_S002,38039_D01_S002,Santa Úrsula,103,20,94,394,611,591,17.42808798646362,15.905245346869712
2022,20220101_38039_D01_S003,38039_D01_S003,Santa Úrsula,98,13,106,280,497,484,20.24793388429752,21.90082644628099
2022,20220101_38039_D01_S004,38039_D01_S004,Santa Úrsula,297,32,54,363,746,714,41.596638655462186,7.563025210084033
2022,20220101_38039_D01_S005,38039_D01_S005,Santa Úrsula,118,24,54,314,510,486,24.279835390946502,11.11111111111111
2022,20220101_38039_D01_S006,38039_D01_S006,Santa Úrsula,189,34,85,428,736,702,26.923076923076923,12.108262108262108
2022,20220101_38039_D01_S007,38039_D01_S007,Santa Úrsula,217,35,93,443,788,753,28.818061088977423,12.350597609561753
