year,geocode,section_key,municipio,distrito,seccion,renta_bruta_media_hogar,renta_bruta_media_persona,renta_neta_uc_media,renta_neta_uc_mediana,renta_ratio_media_mediana,map_year_renta
2021,20220101_38026_D01_S004,38026_D01_S004,La Orotava,1,4,37055.0,13431.0,17491.0,15050.0,1.1621926910299003,2022
2021,20220101_38026_D02_S001,38026_D02_S001,La Orotava,2,1,30705.0,11896.0,15155.0,13650.0,1.1102564102564103,2022
2021,20220101_38026_D02_S002,38026_D02_S002,La Orotava,2,2,29633.0,10238.0,14190.0,12950.0,1.0957528957528957,2022
2021,20220101_38026_D02_S003,38026_D02_S003,La Orotava,2,3,33972.0,11534.0,15737.0,14350.0,1.0966550522648084,2022
2021,20220101_38026_D02_S004,38026_D02_S004,La Orotava,2,4,30832.0,12017.0,15844.0,14350.0,1.1041114982578397,2022
2021,20220101_38026_D03_S001,38026_D03_S001,La Orotava,3,1,29934.0,9971.0,14027.0,13650.0,1.0276190476190477,2022
2021,20220101_38026_D03_S002,38026_D03_S002,La Orotava,3,2,32028.0,11348.0,15512.0,12950.0,1.1978378378378378,2022
2021,20220101_38026_D03_S003,38026_D03_S003,La Orotava,3,3,46032.0,16615.0,21050.0,17850.0,1.1792717086834734,2022
2021,20220101_38026_D03_S004,38026_D03_S004,La Orotava,3,4,32934.0,11828.0,15754.0,14350.0,1.0978397212543554,2022
2021,20220101_38026_D03_S005,38026_D03_S005,La Orotava,3,5,29271.0,10289.0,14244.0,13650.0,1.0435164835164834,2022
2021,20220101_38026_D03_S006,38026_D03_S006,La Orotava,3,6,36830.0,13040.0,17271.0,15050.0,1.1475747508305647,2022
2021,20220101_38026_D03_S007,38026_D03_S007,La Orotava,3,7,32050.0,11298.0,15338.0,14350.0,1.068850174216028,2022
2021,20220101_38026_D04_S001,38026_D04_S001,La Orotava,4,1,44158.0,16086.0,20158.0,15750.0,1.2798730158730158,2022
2021,20220101_38026_D04_S002,38026_D04_S002,La Orotava,4,2,37402.0,12496.0,16875.0,15050.0,1.1212624584717608,2022
2021,20220101_38026_D04_S003,38026_D04_S003,La Orotava,4,3,48167.0,16934.0,21226.0,15750.0,1.3476825396825396,2022
2021,20220101_38026_D04_S004,38026_D04_S004,La Orotava,4,4,29203.0,9832.0,13605.0,12250.0,1.1106122448979592,2022
2021,20220101_38026_D04_S005,38026_D04_S005,La Orotava,4,5,43667.0,15610.0,19652.0,16450.0,1.1946504559270517,2022
2021,20220101_38026_D05_S001,38026_D05_S001,La Orotava,5,1,30565.0,10540.0,14475.0,12950.0,1.1177606177606179,2022
2021,20220101_38026_D05_S002,38026_D05_S002,La Orotava,5,2,31020.0,10602.0,14537.0,13650.0,1.0649816849816849,2022
2021,20220101_38026_D05_S003,38026_D05_S003,La Orotava,5,3,29591.0,10385.0,14294.0,12950.0,1.1037837837837838,2022
2021,20220101_38026_D05_S004,38026_D05_S004,La Orotava,5,4,22409.0,8233.0,11505.0,10850.0,1.06036866359447,2022
2021,20220101_38026_D05_S005,38026_D05_S005,La Orotava,5,5,30050.0,10772.0,14925.0,13650.0,1.0934065934065933,2022
2021,20220101_38026_D06_S001,38026_D06_S001,La Orotava,6,1,26503.0,8909.0,12563.0,11550.0,1.0877056277056276,2022
2021,20220101_38026_D06_S002,38026_D06_S002,La Orotava,6,2,26617.0,9121.0,12783.0,12250.0,1.0435102040816326,2022
2021,20220101_38026_D06_S003,38026_D06_S003,La Orotava,6,3,26649.0,9308.0,12944.0,11550.0,1.1206926406926407,2022
2021,20220101_38026_D06_S004,38026_D06_S004,La Orotava,6,4,30136.0,8868.0,13064.0,12250.0,1.0664489795918368,2022
2021,20220101_38027_D01_S001,38027_D01_S001,El Paso,1,1,35370.0,12100.0,16663.0,15050.0,1.1071760797342192,2022
2021,20220101_38027_D02_S001,38027_D02_S001,El Paso,2,1,35386.0,12166.0,16396.0,14350.0,1.1425783972125436,2022
2021,20220101_38027_D03_S001,38027_D03_S001,El Paso,3,1,38049.0,12858.0,17251.0,14350.0,1.2021602787456447,2022
2021,20220101_38027_D03_S002,38027_D03_S002,El Paso,3,2,34559.0,13089.0,17019.0,14350.0,1.1859930313588851,2022
2021,20220101_38027_D04_S001,38027_D04_S001,El Paso,4,1,34775.0,12071.0,16757.0,14350.0,1.1677351916376306,2022
2021,20220101_38028_D01_S001,38028_D01_S001,Puerto de La Cruz,1,1,25978.0,13066.0,16009.0,12250.0,1.306857142857143,2022
2021,20220101_38028_D01_S002,38028_D01_S002,Puerto de La Cruz,1,2,24158.0,12665.0,14968.0,11550.0,1.295930735930736,2022
2021,20220101_38028_D01_S003,38028_D01_S003,Puerto de La Cruz,1,3,38304.0,18958.0,22395.0,17850.0,1.2546218487394958,2022
2021,20220101_38028_D01_S004,38028_D01_S004,Puerto de La Cruz,1,4,43518.0,19122.0,22963.0,19250.0,1.1928831168831169,2022
2021,20220101_38028_D02_S001,38028_D02_S001,Puerto de La Cruz,2,1,31693.0,16360.0,18667.0,14350.0,1.300836236933798,2022
2021,20220101_38028_D02_S002,38028_D02_S002,Puerto de La Cruz,2,2,29032.0,14058.0,17349.0,14350.0,1.2089895470383276,2022
2021,20220101_38028_D02_S003,38028_D02_S003,Puerto de La Cruz,2,3,38343.0,17562.0,20950.0,15750.0,1.33015873015873,2022
2021,20220101_38028_D02_S004,38028_D02_S004,Puerto de La Cruz,2,4,36818.0,14877.0,18630.0,15050.0,1.237873754152824,2022
2021,20220101_38028_D02_S005,38028_D02_S005,Puerto de La Cruz,2,5,35444.0,12193.0,16267.0,13650.0,1.1917216117216116,2022
2021,20220101_38028_D03_S001,38028_D03_S001,Puerto de La Cruz,3,1,30969.0,13286.0,16322.0,14350.0,1.1374216027874564,2022
2021,20220101_38028_D03_S002,38028_D03_S002,Puerto de La Cruz,3,2,28347.0,12767.0,15888.0,14350.0,1.107177700348432,2022
2021,20220101_38028_D03_S003,38028_D03_S003,Puerto de La Cruz,3,3,24463.0,10813.0,13979.0,12950.0,1.0794594594594595,2022
2021,20220101_38028_D03_S004,38028_D03_S004,Puerto de La Cruz,3,4,28393.0,12872.0,15935.0,14350.0,1.1104529616724739,2022
2021,20220101_38028_D03_S005,38028_D03_S005,Puerto de La Cruz,3,5,30286.0,11703.0,15439.0,14350.0,1.0758885017421602,2022
2021,20220101_38028_D03_S006,38028_D03_S006,Puerto de La Cruz,3,6,26775.0,12029.0,15437.0,14350.0,1.0757491289198606,2022
2021,20220101_38028_D04_S001,38028_D04_S001,Puerto de La Cruz,4,1,31796.0,12237.0,16228.0,15050.0,1.0782724252491693,2022
2021,20220101_38028_D04_S002,38028_D04_S002,Puerto de La Cruz,4,2,27493.0,9281.0,13079.0,12250.0,1.0676734693877552,2022
2021,20220101_38028_D04_S003,38028_D04_S003,Puerto de La Cruz,4,3,31012.0,10657.0,14476.0,12950.0,1.1178378378378377,2022
2021,20220101_38028_D04_S004,38028_D04_S004,Puerto de La Cruz,4,4,33631.0,12323.0,16339.0,14350.0,1.1386062717770036,2022
2021,20220101_38028_D04_S005,38028_D04_S005,Puerto de La Cruz,4,5,26271.0,9232.0,12895.0,11550.0,1.1164502164502164,2022
2021,20220101_38029_D01_S001,38029_D01_S001,Puntagorda,1,1,24503.0,8732.0,12216.0,10500.0,1.1634285714285715,2022
2021,20220101_38029_D01_S002,38029_D01_S002,Puntagorda,1,2,28245.0,9592.0,13350.0,11550.0,1.155844155844156,2022
2021,20220101_38030_D01_S001,38030_D01_S001,Puntallana,1,1,35297.0,12907.0,17026.0,15050.0,1.131295681063123,2022
2021,20220101_38030_D01_S002,38030_D01_S002,Puntallana,1,2,36965.0,13014.0,17706.0,15750.0,1.1241904761904762,2022
2021,20220101_38031_D01_S001,38031_D01_S001,Los Realejos,1,1,29809.0,10509.0,14571.0,13650.0,1.0674725274725274,2022
2021,20220101_38031_D01_S002,38031_D01_S002,Los Realejos,1,2,37453.0,12945.0,17079.0,14350.0,1.1901742160278745,2022
2021,20220101_38031_D01_S003,38031_D01_S003,Los Realejos,1,3,31942.0,11878.0,15578.0,14350.0,1.085574912891986,2022
2021,20220101_38031_D01_S004,38031_D01_S004,Los Realejos,1,4,30184.0,11680.0,15165.0,13650.0,1.110989010989011,2022
2021,20220101_38031_D01_S005,38031_D01_S005,Los Realejos,1,5,30798.0,10510.0,14433.0,12950.0,1.1145173745173744,2022
2021,20220101_38031_D01_S006,38031_D01_S006,Los Realejos,1,6,29525.0,11678.0,15112.0,13650.0,1.107106227106227,2022
2021,20220101_38031_D01_S007,38031_D01_S007,Los Realejos,1,7,29218.0,9516.0,13631.0,12950.0,1.0525868725868726,2022
